Time (EET),Open,High,Low,Close,Volume 
2024.05.09 00:00:00,0.8599,0.85991,0.85875,0.85989,410.97
2024.05.09 00:15:00,0.85989,0.86002,0.85983,0.85986,454.65
2024.05.09 00:30:00,0.85983,0.8599,0.85979,0.85985,592.35
2024.05.09 00:45:00,0.85986,0.86008,0.85985,0.86007,506.77
2024.05.09 01:00:00,0.86004,0.8601,0.8599,0.86009,223.77
2024.05.09 01:15:00,0.86008,0.86013,0.86005,0.86011,140.9
2024.05.09 01:30:00,0.86011,0.86016,0.86007,0.8601,135.33
2024.05.09 01:45:00,0.86011,0.86011,0.86006,0.86006,84.44
2024.05.09 02:00:00,0.86006,0.86011,0.86005,0.8601,63.06
2024.05.09 02:15:00,0.86007,0.86013,0.86007,0.86011,55.2
2024.05.09 02:30:00,0.86009,0.8602,0.86009,0.86016,77.92
2024.05.09 02:45:00,0.86014,0.86021,0.86011,0.86018,108.45
2024.05.09 03:00:00,0.86017,0.86026,0.86014,0.86022,199.55
2024.05.09 03:15:00,0.86021,0.86029,0.8602,0.86023,117
2024.05.09 03:30:00,0.86024,0.86025,0.86017,0.86018,89.16
2024.05.09 03:45:00,0.86015,0.86022,0.86006,0.86012,270.88
2024.05.09 04:00:00,0.86011,0.86016,0.86003,0.86003,617.19
2024.05.09 04:15:00,0.86005,0.86013,0.86003,0.8601,868.87
2024.05.09 04:30:00,0.8601,0.86012,0.85998,0.86005,604.07
2024.05.09 04:45:00,0.86004,0.86009,0.86004,0.86006,147.22
2024.05.09 05:00:00,0.86005,0.86012,0.86002,0.86009,241.59
2024.05.09 05:15:00,0.86009,0.86012,0.86005,0.86009,361.5
2024.05.09 05:30:00,0.86008,0.86012,0.86004,0.86011,460.2
2024.05.09 05:45:00,0.86011,0.86017,0.86008,0.86014,383.42
2024.05.09 06:00:00,0.86012,0.86015,0.86005,0.86006,597.63
2024.05.09 06:15:00,0.86007,0.86008,0.85993,0.85995,609.92
2024.05.09 06:30:00,0.85994,0.86001,0.85993,0.86,896.62
2024.05.09 06:45:00,0.86001,0.8601,0.85994,0.86001,764.22
2024.05.09 07:00:00,0.86003,0.86016,0.86001,0.86014,1198.02
2024.05.09 07:15:00,0.86014,0.8602,0.86013,0.86018,773.46
2024.05.09 07:30:00,0.86016,0.86024,0.86016,0.86021,1601.1
2024.05.09 07:45:00,0.86021,0.86031,0.86015,0.86017,1080.92
2024.05.09 08:00:00,0.86017,0.86019,0.8601,0.86017,496.69
2024.05.09 08:15:00,0.86017,0.86018,0.86012,0.86017,311.22
2024.05.09 08:30:00,0.86017,0.86018,0.86011,0.86012,579
2024.05.09 08:45:00,0.86013,0.86021,0.86012,0.86016,295.59
2024.05.09 09:00:00,0.86016,0.86059,0.86006,0.86058,702.9
2024.05.09 09:15:00,0.86057,0.86059,0.86037,0.86037,474.83
2024.05.09 09:30:00,0.86035,0.86048,0.86035,0.8604,492.79
2024.05.09 09:45:00,0.86039,0.86053,0.86034,0.86037,535.93
2024.05.09 10:00:00,0.86036,0.86058,0.86011,0.86024,1214.77
2024.05.09 10:15:00,0.86024,0.86049,0.86018,0.8604,762.92
2024.05.09 10:30:00,0.86041,0.86052,0.86025,0.86026,902.81
2024.05.09 10:45:00,0.86027,0.86038,0.86008,0.8603,1250.85
2024.05.09 11:00:00,0.86029,0.86046,0.86021,0.86027,910.26
